instance,n,time_limit,status,optimal,has_sol,obj,bound,gap,nodes,cols,rows,build_s,solve_s,tour_ok
tsp_n10_1,10,0.1,"integer optimal solution",1,1,235.296,235.296,0,0,171,110,0.000279012,0.0377268,1
tsp_n10_2,10,0.1,"integer optimal solution",1,1,265.199,265.199,0,0,171,110,0.000315091,0.0522862,1
tsp_n10_3,10,0.1,"integer optimal solution",1,1,301.126,301.126,0,0,171,110,0.00018875,0.0143015,1
tsp_n10_4,10,0.1,"integer optimal solution",1,1,274.453,274.453,0,0,171,110,0.000175656,0.0276206,1
tsp_n10_5,10,0.1,"integer optimal solution",1,1,275.203,275.203,0,0,171,110,0.000244146,0.0481263,1
tsp_n20_1,20,0.1,"time limit exceeded",0,1,1177.52,400.474,0.659901,0,741,420,0.000457814,0.10125,1
tsp_n20_2,20,0.1,"time limit exceeded",0,1,1086.06,425.07,0.608613,0,741,420,0.000400635,0.100353,1
tsp_n20_3,20,0.1,"time limit exceeded",0,1,882.808,314.719,0.643502,0,741,420,0.000414722,0.100588,1
tsp_n20_4,20,0.1,"time limit exceeded",0,1,1035.2,327.831,0.683318,0,741,420,0.000397137,0.100278,1
tsp_n20_5,20,0.1,"time limit exceeded",0,1,951.074,371.343,0.609554,0,741,420,0.000437535,0.100678,1
tsp_n30_1,30,0.1,"time limit exceeded",0,1,1308.54,418.646,0.680066,0,1711,930,0.000717339,0.100375,1
tsp_n30_2,30,0.1,"time limit exceeded",0,1,1501.69,389.115,0.740882,0,1711,930,0.00436415,0.100345,1
tsp_n30_3,30,0.1,"time limit exceeded",0,1,1362.88,369.966,0.72854,0,1711,930,0.000742106,0.100422,1
tsp_n30_4,30,0.1,"time limit exceeded",0,1,1395.76,387.048,0.722697,0,1711,930,0.00131048,0.101654,1
tsp_n30_5,30,0.1,"time limit exceeded",0,1,1397.21,425.665,0.695346,0,1711,930,0.000877073,0.100316,1
tsp_n40_1,40,0.1,"time limit exceeded",0,1,2390.75,470.636,0.803143,0,3081,1640,0.00117251,0.10064,1
tsp_n40_2,40,0.1,"time limit exceeded",0,1,1885.54,448.657,0.762054,0,3081,1640,0.001029,0.100403,1
tsp_n40_3,40,0.1,"time limit exceeded",0,1,2005.32,476.182,0.76254,0,3081,1640,0.00102946,0.100539,1
tsp_n40_4,40,0.1,"time limit exceeded",0,1,1765.85,375.941,0.787105,0,3081,1640,0.00101022,0.100311,1
