instance,n,time_limit,status,optimal,has_sol,obj,bound,gap,nodes,cols,rows,build_s,solve_s,tour_ok
tsp_n10_1,10,1,"integer optimal solution",1,1,235.296,235.296,0,0,171,110,0.000187368,0.0371934,1
tsp_n10_2,10,1,"integer optimal solution",1,1,265.199,265.199,0,0,171,110,0.000180375,0.0386849,1
tsp_n10_3,10,1,"integer optimal solution",1,1,301.126,301.126,0,0,171,110,0.000153022,0.0106062,1
tsp_n10_4,10,1,"integer optimal solution",1,1,274.453,274.453,0,0,171,110,0.000120971,0.0179983,1
tsp_n10_5,10,1,"integer optimal solution",1,1,275.203,275.203,0,0,171,110,0.000122133,0.0343294,1
tsp_n20_1,20,1,"integer optimal solution",1,1,419.657,419.657,0,0,741,420,0.000307066,0.286483,1
tsp_n20_2,20,1,"integer optimal solution",1,1,442.466,442.466,0,124,741,420,0.000577221,0.254672,1
tsp_n20_3,20,1,"integer optimal solution",1,1,340.585,340.585,0,0,741,420,0.000353735,0.132691,1
tsp_n20_4,20,1,"integer optimal solution",1,1,345.625,345.625,0,0,741,420,0.000353133,0.103397,1
tsp_n20_5,20,1,"integer optimal solution",1,1,418.545,418.545,0,0,741,420,0.000437204,0.429004,1
tsp_n30_1,30,1,"time limit exceeded",0,1,470.283,464.843,0.0115684,80,1711,930,0.000581219,1.00027,1
tsp_n30_2,30,1,"time limit exceeded",0,1,485.231,468.991,0.0334704,145,1711,930,0.000661452,1.00026,1
tsp_n30_3,30,1,"integer optimal solution",1,1,414.261,414.261,0,0,1711,930,0.000547435,0.210077,1
tsp_n30_4,30,1,"time limit exceeded",0,1,439.145,437.402,0.00397031,0,1711,930,0.000730003,1.00089,1
tsp_n30_5,30,1,"integer optimal solution",1,1,460.021,460.021,0,0,1711,930,0.000616426,0.383584,1
tsp_n40_1,40,1,"integer optimal solution",1,1,532.855,532.855,0,0,3081,1640,0.000937389,0.241749,1
tsp_n40_2,40,1,"time limit exceeded",0,1,670.989,514.013,0.233948,0,3081,1640,0.00107983,1.00145,1
tsp_n40_3,40,1,"time limit exceeded",0,1,613.824,549.895,0.104149,0,3081,1640,0.000905078,1.00341,1
tsp_n40_4,40,1,"time limit exceeded",0,1,599.622,495.92,0.172946,0,3081,1640,0.00114025,1.00122,1
tsp_n40_5,40,1,"integer optimal solution",1,1,516.876,516.876,0,0,3081,1640,0.00106421,0.343877,1
tsp_n50_1,50,1,"time limit exceeded",0,1,613.645,547.685,0.107489,0,4851,2550,0.00165807,1.00318,1
tsp_n50_2,50,1,"time limit exceeded",0,1,2655.06,525.803,0.801962,0,4851,2550,0.00194128,1.00292,1
tsp_n50_3,50,1,"time limit exceeded",0,1,623.125,568.118,0.0882753,0,4851,2550,0.0019898,1.00051,1
tsp_n50_4,50,1,"integer optimal solution",1,1,614.12,614.12,0,12,4851,2550,0.00158905,0.793382,1
tsp_n50_5,50,1,"time limit exceeded",0,1,2847.19,554.459,0.805261,0,4851,2550,0.00138431,1.00196,1
tsp_n60_1,60,1,"time limit exceeded",0,1,3170.77,576.92,0.818051,0,7021,3660,0.00202634,1.00231,1
tsp_n60_2,60,1,"time limit exceeded",0,1,3329.6,630.995,0.810489,0,7021,3660,0.00216349,1.0023,1
tsp_n60_3,60,1,"time limit exceeded",0,1,3037.38,557.141,0.816572,0,7021,3660,0.00208266,1.00267,1
tsp_n60_4,60,1,"time limit exceeded",0,1,3097.25,618.309,0.800368,0,7021,3660,0.00230569,1.00107,1
tsp_n60_5,60,1,"time limit exceeded",0,1,3292.3,573.265,0.825877,0,7021,3660,0.00229538,1.00316,1
tsp_n70_1,70,1,"time limit exceeded",0,1,3542.57,578.835,0.836606,0,9591,4970,0.00289661,1.00156,1
tsp_n70_2,70,1,"time limit exceeded",0,1,3585.32,573.402,0.84007,0,9591,4970,0.00335676,1.00098,1
tsp_n70_3,70,1,"time limit exceeded",0,1,3514.59,570.568,0.837657,0,9591,4970,0.00308743,1.00371,1
tsp_n70_4,70,1,"time limit exceeded",0,1,3824.36,591.553,0.84532,0,9591,4970,0.00377022,1.0049,1
tsp_n70_5,70,1,"time limit exceeded",0,1,3340.13,603.431,0.819339,0,9591,4970,0.00294323,1.00057,1
tsp_n80_1,80,1,"time limit exceeded",0,1,4018.91,0,1,0,12561,6480,0.00400167,1.00337,1
tsp_n80_2,80,1,"time limit exceeded",0,1,4323.13,0,1,0,12561,6480,0.00478327,1.00236,1
tsp_n80_3,80,1,"time limit exceeded",0,1,3791.63,0,1,0,12561,6480,0.00548211,1.00218,1
tsp_n80_4,80,1,"time limit exceeded",0,1,4091.19,0,1,0,12561,6480,0.00418483,1.00231,1
tsp_n80_5,80,1,"time limit exceeded",0,1,3425.95,0,1,0,12561,6480,0.00388655,1.00238,1
tsp_n90_1,90,1,"time limit exceeded",0,1,4840.5,0,1,0,15931,8190,0.00535425,1.0023,1
tsp_n90_2,90,1,"time limit exceeded",0,1,3987.68,0,1,0,15931,8190,0.00585031,1.00189,1
tsp_n90_3,90,1,"time limit exceeded",0,1,4645.56,0,1,0,15931,8190,0.00507753,1.00239,1
tsp_n90_4,90,1,"time limit exceeded",0,1,4814.13,0,1,0,15931,8190,0.00520379,1.00236,1
tsp_n90_5,90,1,"time limit exceeded",0,1,4409.77,0,1,0,15931,8190,0.00535816,1.0064,1
tsp_n100_1,100,1,"time limit exceeded",0,1,5485.27,0,1,0,19701,10100,0.00636978,1.00238,1
tsp_n100_2,100,1,"time limit exceeded",0,1,5111.26,0,1,0,19701,10100,0.006306,1.00282,1
tsp_n100_3,100,1,"time limit exceeded",0,1,4848.3,0,1,0,19701,10100,0.00664898,1.00282,1
tsp_n100_4,100,1,"time limit exceeded",0,1,5703.05,0,1,0,19701,10100,0.00673933,1.00263,1
tsp_n100_5,100,1,"time limit exceeded",0,1,4893.36,0,1,0,19701,10100,0.00697365,1.00255,1
