instance,n,seed,init,tenure,max_no_improve,kick,time_limit,init_cost,best_cost,iterations,best_iter,perturbations,time_to_best,total_s
tsp_n10_1,10,1,nn,5,5,6,0.1,281.798,235.296,160799,4,32159,8.296e-06,0.100001
tsp_n10_1,10,2,nn,5,5,6,0.1,281.798,235.296,161109,4,32221,8.566e-06,0.100001
tsp_n10_1,10,3,nn,5,5,6,0.1,281.792,235.296,170684,3,34136,8.577e-06,0.1
tsp_n10_1,10,4,nn,5,5,6,0.1,247.231,235.296,168356,1,33671,6.001e-06,0.100001
tsp_n10_1,10,5,nn,5,5,6,0.1,235.296,235.296,158250,0,31650,3.797e-06,0.100002
tsp_n10_1,10,6,nn,5,5,6,0.1,236.711,235.296,178641,1,35728,6.222e-06,0.100001
tsp_n10_1,10,7,nn,5,5,6,0.1,235.296,235.296,185267,0,37053,3.276e-06,0.1
tsp_n10_1,10,8,nn,5,5,6,0.1,236.711,235.296,184696,1,36939,5.711e-06,0.1
tsp_n10_1,10,9,nn,5,5,6,0.1,235.296,235.296,187427,0,37485,3.336e-06,0.1
tsp_n10_1,10,10,nn,5,5,6,0.1,247.231,235.296,169301,1,33860,6.253e-06,0.1
tsp_n10_2,10,1,nn,5,5,6,0.1,271.692,265.199,131344,2,26268,7.143e-06,0.1
tsp_n10_2,10,2,nn,5,5,6,0.1,271.692,265.199,132977,2,26595,6.933e-06,0.100001
tsp_n10_2,10,3,nn,5,5,6,0.1,271.692,265.199,155887,2,31177,7.113e-06,0.100002
tsp_n10_2,10,4,nn,5,5,6,0.1,271.692,265.199,163043,2,32608,6.503e-06,0.100001
tsp_n10_2,10,5,nn,5,5,6,0.1,293.701,265.199,152282,4,30455,8.286e-06,0.100001
tsp_n10_2,10,6,nn,5,5,6,0.1,278.245,265.199,164048,3,32809,8.506e-06,0.100001
tsp_n10_2,10,7,nn,5,5,6,0.1,271.692,265.199,159107,2,31821,6.783e-06,0.100001
tsp_n10_2,10,8,nn,5,5,6,0.1,278.245,265.199,164769,3,32953,8.126e-06,0.100001
tsp_n10_2,10,9,nn,5,5,6,0.1,271.692,265.199,170497,2,34099,6.713e-06,0.100001
tsp_n10_2,10,10,nn,5,5,6,0.1,278.245,265.199,160482,3,32095,7.935e-06,0.1
tsp_n10_3,10,1,nn,5,5,6,0.1,347.543,301.126,140609,4,28121,1.2434e-05,0.100001
tsp_n10_3,10,2,nn,5,5,6,0.1,347.543,301.126,148343,4,29667,1.1122e-05,0.100001
tsp_n10_3,10,3,nn,5,5,6,0.1,332.594,301.126,185519,4,37103,9.448e-06,0.100001
tsp_n10_3,10,4,nn,5,5,6,0.1,338.294,301.126,152210,5,30441,7.896e-06,0.1
tsp_n10_3,10,5,nn,5,5,6,0.1,349.935,301.126,157511,6,31501,9.529e-06,0.100001
tsp_n10_3,10,6,nn,5,5,6,0.1,382.49,301.126,178688,3,35737,7.665e-06,0.100001
tsp_n10_3,10,7,nn,5,5,6,0.1,323.075,301.126,183570,3,36713,5.39e-06,0.1
tsp_n10_3,10,8,nn,5,5,6,0.1,382.49,301.126,183067,3,36612,7.394e-06,0.1
tsp_n10_3,10,9,nn,5,5,6,0.1,323.075,301.126,171383,3,34276,7.745e-06,0.100001
tsp_n10_3,10,10,nn,5,5,6,0.1,331.128,301.126,187082,2,37416,5.651e-06,0.100001
tsp_n10_4,10,1,nn,5,5,6,0.1,346.043,274.453,177545,3,35508,8.236e-06,0.1
tsp_n10_4,10,2,nn,5,5,6,0.1,346.043,274.453,152188,3,30437,1.039e-05,0.100003
tsp_n10_4,10,3,nn,5,5,6,0.1,302.784,274.453,151380,5,30275,9.408e-06,0.100001
tsp_n10_4,10,4,nn,5,5,6,0.1,357.649,274.453,146233,2,29246,7.665e-06,0.100001
tsp_n10_4,10,5,nn,5,5,6,0.1,324.484,274.453,138328,4,27664,1.2474e-05,0.1
