instance,n,seed,init,tenure,max_no_improve,kick,time_limit,init_cost,best_cost,iterations,best_iter,perturbations,time_to_best,total_s
tsp_n10_1,10,1,nn,5,5,6,10,281.798,235.296,16493419,4,3298683,8.867e-06,10
tsp_n10_1,10,2,nn,5,5,6,10,281.798,235.296,15880199,4,3176039,1.1542e-05,10
tsp_n10_1,10,3,nn,5,5,6,10,281.792,235.296,17355770,3,3471153,7.384e-06,10
tsp_n10_1,10,4,nn,5,5,6,10,247.231,235.296,17351309,1,3470261,6.813e-06,10
tsp_n10_1,10,5,nn,5,5,6,10,235.296,235.296,16411149,0,3282229,4.228e-06,10
tsp_n10_2,10,1,nn,5,5,6,10,271.692,265.199,15946462,2,3189292,8.807e-06,10
tsp_n10_2,10,2,nn,5,5,6,10,271.692,265.199,15173117,2,3034623,6.893e-06,10
tsp_n10_2,10,3,nn,5,5,6,10,271.692,265.199,16335465,2,3267092,6.973e-06,10
tsp_n10_2,10,4,nn,5,5,6,10,271.692,265.199,16719412,2,3343882,6.512e-06,10
tsp_n10_2,10,5,nn,5,5,6,10,293.701,265.199,15624864,4,3124972,9.097e-06,10
tsp_n10_3,10,1,nn,5,5,6,10,347.543,301.126,16202240,4,3240447,9.378e-06,10
tsp_n10_3,10,2,nn,5,5,6,10,347.543,301.126,16507654,4,3301530,9.107e-06,10
tsp_n10_3,10,3,nn,5,5,6,10,332.594,301.126,15923039,4,3184607,8.236e-06,10
tsp_n10_3,10,4,nn,5,5,6,10,338.294,301.126,15640307,5,3128060,1.1992e-05,10
tsp_n10_3,10,5,nn,5,5,6,10,349.935,301.126,29026904,6,5805379,1.1762e-05,10
tsp_n10_4,10,1,nn,5,5,6,10,346.043,274.453,33229757,3,6645950,5.08e-06,10
tsp_n10_4,10,2,nn,5,5,6,10,346.043,274.453,35784713,3,7156942,3.556e-06,10
tsp_n10_4,10,3,nn,5,5,6,10,302.784,274.453,32495667,5,6499132,3.928e-06,10
tsp_n10_4,10,4,nn,5,5,6,10,357.649,274.453,34678082,2,6935616,3.567e-06,10
tsp_n10_4,10,5,nn,5,5,6,10,324.484,274.453,35385563,4,7077111,3.567e-06,10
tsp_n10_5,10,1,nn,5,5,6,10,305.88,275.203,32493815,4,6498762,3.707e-06,10
tsp_n10_5,10,2,nn,5,5,6,10,305.88,275.203,32154854,4,6430970,3.727e-06,10
tsp_n10_5,10,3,nn,5,5,6,10,292.203,275.203,36641371,1,7328274,2.635e-06,10
tsp_n10_5,10,4,nn,5,5,6,10,318.754,275.203,33240783,3,6648156,4.147e-06,10
tsp_n10_5,10,5,nn,5,5,6,10,298.563,275.203,31779593,3,6355918,3.377e-06,10
tsp_n20_1,20,1,nn,5,10,6,10,474.608,419.657,18811224,21,1881121,1.5218e-05,10
tsp_n20_1,20,2,nn,5,10,6,10,474.608,419.657,18745661,66,1874563,3.8061e-05,10
tsp_n20_1,20,3,nn,5,10,6,10,471.945,419.657,18673195,32,1867317,2.1831e-05,10
tsp_n20_1,20,4,nn,5,10,6,10,506.006,419.657,19782396,136,1978238,7.4379e-05,10
tsp_n20_1,20,5,nn,5,10,6,10,467.268,419.657,18072861,27,1807284,1.7302e-05,10
tsp_n20_2,20,1,nn,5,10,6,10,467.512,442.466,18811739,16,1881172,1.1953e-05,10
tsp_n20_2,20,2,nn,5,10,6,10,467.512,442.466,19290494,16,1929047,1.2093e-05,10
tsp_n20_2,20,3,nn,5,10,6,10,528.676,442.466,18636070,20,1863605,1.5158e-05,10
tsp_n20_2,20,4,nn,5,10,6,10,513.356,442.466,19409103,13,1940909,9.578e-06,10
tsp_n20_2,20,5,nn,5,10,6,10,506.158,442.466,19337612,4,1933760,6.442e-06,10
tsp_n20_3,20,1,nn,5,10,6,10,386.149,340.585,18836492,2,1883649,4.548e-06,10
tsp_n20_3,20,2,nn,5,10,6,10,386.149,340.585,19204002,2,1920400,4.589e-06,10
tsp_n20_3,20,3,nn,5,10,6,10,340.585,340.585,20000360,0,2000036,2.715e-06,10
tsp_n20_3,20,4,nn,5,10,6,10,350.18,340.585,18894842,11,1889483,9.518e-06,10
tsp_n20_3,20,5,nn,5,10,6,10,367.088,340.585,19037662,3,1903765,5.22e-06,10
tsp_n20_4,20,1,nn,5,10,6,10,373.468,345.625,20029732,2,2002973,5.64e-06,10
tsp_n20_4,20,2,nn,5,10,6,10,373.468,345.625,18612434,2,1861243,5.18e-06,10
tsp_n20_4,20,3,nn,5,10,6,10,373.468,345.625,17635120,2,1763511,5.421e-06,10
tsp_n20_4,20,4,nn,5,10,6,10,345.625,345.625,19279190,0,1927919,3.106e-06,10
tsp_n20_4,20,5,nn,5,10,6,10,355.967,345.625,18985925,1,1898592,4.098e-06,10
tsp_n20_5,20,1,nn,5,10,6,10,456.761,418.545,18729843,12,1872983,1.3405e-05,10
tsp_n20_5,20,2,nn,5,10,6,10,456.761,418.545,18763431,12,1876341,1.2013e-05,10
tsp_n20_5,20,3,nn,5,10,6,10,448.417,418.545,18964504,54,1896449,3.3293e-05,10
tsp_n20_5,20,4,nn,5,10,6,10,451.689,418.545,18574292,12,1857428,1.0951e-05,10
tsp_n20_5,20,5,nn,5,10,6,10,514.568,418.545,18059292,13,1805927,1.2153e-05,10
tsp_n30_1,30,1,nn,5,15,6,10,582.104,469.382,10188036,79,679201,8.1293e-05,10
tsp_n30_1,30,2,nn,5,15,6,10,632.266,469.382,11611819,2239,774119,0.00211732,10
tsp_n30_1,30,3,nn,5,15,6,10,588.561,469.382,10709208,1449,713944,0.00129088,10
