config,instance,n,seed,init,tenure,max_no_improve,kick,time_limit,init_cost,best_cost,iterations,best_iter,perturbations,time_to_best,total_s
kick0,calib_n100_1,100,1,nn,12,100,0,1000,985.693,785.118,150,50,0,0.000974399,0.00271326
kick0,calib_n100_1,100,2,nn,12,100,0,1000,960.815,780.883,129,29,0,0.00075196,0.00249632
kick0,calib_n100_1,100,3,nn,12,100,0,1000,900.617,767.993,179,79,0,0.00147097,0.00324822
kick0,calib_n100_1,100,4,nn,12,100,0,1000,883.571,778.86,121,21,0,0.000565591,0.00234987
kick0,calib_n100_1,100,5,nn,12,100,0,1000,918.387,767.185,127,27,0,0.000660675,0.00236294
kick0,calib_n100_2,100,1,nn,12,100,0,1000,955.549,802.152,120,20,0,0.000486078,0.0022371
kick0,calib_n100_2,100,2,nn,12,100,0,1000,909.951,782.565,124,24,0,0.000524241,0.00229983
kick0,calib_n100_2,100,3,nn,12,100,0,1000,963.367,821.959,217,117,0,0.00231675,0.00404848
kick0,calib_n100_2,100,4,nn,12,100,0,1000,950.285,799.746,127,27,0,0.000666125,0.00246535
kick0,calib_n100_2,100,5,nn,12,100,0,1000,954.385,794.247,128,28,0,0.000860129,0.00364725
kick0,calib_n30_1,30,1,nn,5,30,0,1000,479.789,426.328,43,13,0,4.3274e-05,9.4332e-05
kick0,calib_n30_1,30,2,nn,5,30,0,1000,534.036,426.328,37,7,0,3.3715e-05,8.79e-05
kick0,calib_n30_1,30,3,nn,5,30,0,1000,568.188,426.328,41,11,0,5.4254e-05,0.000105183
kick0,calib_n30_1,30,4,nn,5,30,0,1000,533.271,472.708,34,4,0,2.8335e-05,8.3832e-05
kick0,calib_n30_1,30,5,nn,5,30,0,1000,539.717,426.328,37,7,0,4.6229e-05,0.000129189
kick0,calib_n30_2,30,1,nn,5,30,0,1000,518.314,466.182,36,6,0,2.9657e-05,7.7669e-05
kick0,calib_n30_2,30,2,nn,5,30,0,1000,533.841,472.79,35,5,0,3.5078e-05,8.0726e-05
kick0,calib_n30_2,30,3,nn,5,30,0,1000,583.304,472.79,37,7,0,7.2851e-05,0.000117297
kick0,calib_n30_2,30,4,nn,5,30,0,1000,590.283,447.548,39,9,0,3.1822e-05,7.3482e-05
kick0,calib_n30_2,30,5,nn,5,30,0,1000,608.714,447.548,45,15,0,4.4055e-05,8.7018e-05
kick0,calib_n50_1,50,1,nn,6,50,0,1000,653.039,578.909,59,9,0,8.1177e-05,0.000273758
kick0,calib_n50_1,50,2,nn,6,50,0,1000,639.744,555.324,58,8,0,6.2861e-05,0.000286793
kick0,calib_n50_1,50,3,nn,6,50,0,1000,659.377,578.909,58,8,0,6.212e-05,0.000252737
kick0,calib_n50_1,50,4,nn,6,50,0,1000,687.78,550.734,59,9,0,6.3603e-05,0.000242969
kick0,calib_n50_1,50,5,nn,6,50,0,1000,699.886,550.734,65,15,0,8.8161e-05,0.000264881
kick0,calib_n50_2,50,1,nn,6,50,0,1000,685.943,615.751,58,8,0,9.343e-05,0.000417986
kick0,calib_n50_2,50,2,nn,6,50,0,1000,749.45,615.116,62,12,0,0.000115714,0.000294438
kick0,calib_n50_2,50,3,nn,6,50,0,1000,765.949,594.047,62,12,0,8.2249e-05,0.000258709
kick0,calib_n50_2,50,4,nn,6,50,0,1000,730.848,621.486,72,22,0,0.000214634,0.000411844
kick0,calib_n50_2,50,5,nn,6,50,0,1000,777.571,617.829,62,12,0,7.5175e-05,0.000246826
kick0,calib_n70_1,70,1,nn,8,70,0,1000,773.892,662.457,84,14,0,0.000168185,0.000664742
kick0,calib_n70_1,70,2,nn,8,70,0,1000,737.485,664.317,84,14,0,0.000152825,0.000657047
kick0,calib_n70_1,70,3,nn,8,70,0,1000,832.582,688.87,95,25,0,0.00034734,0.000988006
kick0,calib_n70_1,70,4,nn,8,70,0,1000,808.48,664.613,86,16,0,0.000184726,0.000682035
