budget,n,solved,with_sol,time_solved,time_max,gap_unsolved,nodes
0.1,10,5,5,0.036012279999999994,0.0522862,,0.0
0.1,20,0,5,,,64.09776000000001,0.0
0.1,30,0,5,,,71.35061999999999,0.0
0.1,40,0,5,,,77.72078,0.0
0.1,50,0,5,,,89.52918000000001,0.0
0.1,60,0,5,,,100.0,0.0
0.1,70,0,5,,,100.0,0.0
0.1,80,0,5,,,100.0,0.0
0.1,90,0,5,,,100.0,0.0
0.1,100,0,5,,,100.0,0.0
1.0,10,5,5,0.02776244,0.0386849,,0.0
1.0,20,5,5,0.2412494,0.429004,,24.8
1.0,30,2,5,0.2968305,0.383584,1.633637,45.0
1.0,40,2,5,0.292813,0.343877,17.034766666666666,0.0
1.0,50,1,5,0.793382,0.793382,45.0746825,2.4
1.0,60,0,5,,,81.42714,0.0
1.0,70,0,5,,,83.57984,0.0
1.0,80,0,5,,,100.0,0.0
1.0,90,0,5,,,100.0,0.0
1.0,100,0,5,,,100.0,0.0
10.0,10,5,5,0.06777566,0.101495,,0.0
10.0,20,5,5,0.5214567999999999,0.992899,,24.8
10.0,30,5,5,1.8496346,2.75703,,75.6
10.0,40,5,5,2.5948708,4.30062,,15.6
10.0,50,3,5,3.7477433333333336,6.41485,26.78515,91.2
10.0,60,1,5,3.50902,3.50902,29.542099999999994,33.8
10.0,70,1,5,4.65038,4.65038,17.7853110075,241.4
10.0,80,0,5,,,63.87924,2.4
10.0,90,0,5,,,85.52112000000001,0.0
10.0,100,0,5,,,87.18128,0.0
60.0,10,5,5,0.06654336000000001,0.10096,,0.0
60.0,20,5,5,0.5300860000000001,1.0058,,24.8
60.0,30,5,5,1.8459956000000002,2.73055,,75.6
60.0,40,5,5,2.566617,4.24056,,15.6
60.0,50,5,5,14.417327999999998,32.945,,237.8
60.0,60,5,5,35.34265800000001,52.6527,,504.4
60.0,70,4,5,28.366474999999998,56.6034,47.4246,878.6
60.0,80,2,5,51.80015,52.2619,8.345393333333332,775.0
60.0,90,2,5,49.86335,53.7499,18.269996666666664,602.2
60.0,100,0,5,,,6.275299999999999,475.4
