config,gap,std,worst,iters,best_iter,time
kick0,3.771363138472134,2.6317391765809393,10.878947664708871,81.225,18.725,0.000984251825
kick1,0.23171458730787853,0.46327661942382387,1.9242259495306113,50000.0,8710.425,0.4053271625
kick3,0.0448222281078825,0.1653609898824403,0.8216884850572814,50000.0,7003.4,0.41627063
kick6,0.00654307682439681,0.03971714455196359,0.25124343295150897,50000.0,9193.875,0.42474002000000005
wait0.5,0.0,0.0,0.0,50000.0,5408.075,0.41031757999999996
wait2,0.06960508728804993,0.17481620394545827,0.6560254655252562,50000.0,10799.125,0.42977616750000003
wait5,0.14225445372295975,0.2665847821550645,0.9461804986998557,50000.0,10809.5,0.272494
ten0.05,0.03889911381544042,0.1840402422172531,1.0703642329886076,50000.0,4128.825,0.21559139749999998
ten0.25,0.011842218585823572,0.07489676656156131,0.47368874343294287,50000.0,5832.875,0.24635042999999998
ten0.5,0.04818982125872506,0.15378467734050122,0.6560254655252562,50000.0,7328.3,0.31090498499999997
random,0.0433730389153858,0.16384185459917341,0.8216884850572814,50000.0,4414.2,0.4273825575
